house,total_area,built_area,bedrooms,bathrooms,zone_east,zone_north,zone_northeast,zone_rural east,zone_rural west,zone_south,zone_southeast,zone_west
1,150.0,131.0,4,2,0,0,0,0,0,0,0,1
1,60.0,65.0,3,1,0,0,0,0,0,0,1,0
1,185.0,108.0,3,1,0,1,0,0,0,0,0,0
1,315.0,125.0,4,3,0,0,0,1,0,0,0,0
1,1407.0,495.0,7,5,0,0,0,1,0,0,0,0
1,400.0,190.0,5,3,1,0,0,0,0,0,0,0
1,5000.0,600.0,10,8,0,0,0,0,1,0,0,0
1,178.0,113.0,4,2,1,0,0,0,0,0,0,0
0,50.0,50.0,1,1,0,0,0,0,1,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,1,1,0,0,0,0,0,0,1,0
1,246.0,153.0,4,3,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
1,245.0,120.0,3,3,0,0,0,0,0,0,0,1
0,64.0,64.0,1,1,0,1,0,0,0,0,0,0
1,4900.0,400.0,4,4,0,0,0,0,1,0,0,0
0,64.0,64.0,3,6,0,0,0,1,0,0,0,0
0,64.0,64.0,1,1,0,1,0,0,0,0,0,0
0,71.0,71.0,3,2,0,0,0,0,0,1,0,0
1,260.0,180.0,5,4,0,0,1,0,0,0,0,0
0,131.63,131.63,3,3,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
0,64.0,64.0,1,1,0,0,0,0,0,0,0,1
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
0,50.5,50.5,2,2,0,0,0,0,0,0,0,0
0,33.0,33.0,1,1,0,0,0,0,0,0,0,1
0,68.0,68.0,3,2,0,0,0,0,0,0,1,0
0,79.0,79.0,3,2,0,0,0,0,0,0,1,0
1,150.0,100.0,4,3,1,0,0,0,0,0,0,0
1,103.0,85.0,3,1,0,0,0,0,1,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
0,64.0,64.0,2,2,0,0,0,0,0,0,1,0
0,69.0,69.0,3,2,0,1,0,0,0,0,0,0
0,64.0,64.0,3,3,0,0,1,0,0,0,0,0
1,320.0,900.0,4,4,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,1,0,0,0,0,0
0,64.0,64.0,2,1,0,0,0,0,0,1,0,0
1,92.0,100.0,3,2,0,0,0,0,0,0,0,1
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
0,50.0,50.0,2,1,0,0,0,0,0,0,0,1
1,123.0,86.0,3,2,0,1,0,0,0,0,0,0
0,64.0,64.0,3,4,0,0,1,0,0,0,0,0
1,249.0,120.0,3,3,0,0,0,0,0,0,0,1
0,64.0,64.0,2,2,1,0,0,0,0,0,0,0
1,950.0,350.0,4,3,0,0,0,1,0,0,0,0
0,64.0,64.0,1,1,0,0,0,0,0,1,0,0
0,38.0,38.0,1,1,0,1,0,0,0,0,0,0
0,70.0,70.0,2,2,1,0,0,0,0,0,0,0
1,184.0,68.0,3,1,0,0,0,0,0,1,0,0
1,167.0,136.0,4,2,0,0,1,0,0,0,0,0
1,250.0,95.0,4,1,1,0,0,0,0,0,0,0
